,CASE_SUBMITTED_DAY,CASE_SUBMITTED_MONTH,CASE_SUBMITTED_YEAR,DECISION_DAY,DECISION_MONTH,DECISION_YEAR,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_STATE,EMPLOYER_COUNTRY,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H-1B_DEPENDENT,WILLFUL_VIOLATOR,WORKSITE_STATE,WORKSITE_POSTAL_CODE,CASE_STATUS
0,17,11,2016,23,11,2016,H1B,BANK OF AMERICA NA,NY,UNITED STATES OF AMERICA,ANALYSTS,522110.0,1,Y,55744.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,160000.0,0.0,Year,N,N,NY,10036,CERTIFIED
1,27,2,2017,3,3,2017,H1B,VIRTUSA CORPORATION,MA,UNITED STATES OF AMERICA,LAB TECHNICIANS,541511.0,1,Y,55931.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,Y,N,OH,43240,CERTIFIED
2,9,2,2017,15,2,2017,H1B,THE JOHNS HOPKINS UNIVERSITY,MD,UNITED STATES OF AMERICA,ENGINEERS,611310.0,1,Y,67995.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,67995.0,0.0,Year,N,N,MD,21231,CERTIFIED
3,4,5,2017,10,5,2017,H1B,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,FL,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541611.0,1,Y,60528.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,106000.0,0.0,Year,N,N,KY,40202,CERTIFIED
4,21,3,2017,27,3,2017,H1B,EDIFY TECHNOLOGIES INC,IL,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541512.0,1,Y,52166.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,Y,N,IL,60148,CERTIFIED
5,8,5,2017,12,5,2017,H1B,VIRTUE GROUP LLC,GA,UNITED STATES OF AMERICA,ACCOUNTANTS,541511.0,1,Y,70034.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,73500.0,0.0,Year,Y,N,GA,30022,CERTIFIED
6,9,3,2017,15,3,2017,H1B,REVERE LIFE SCIENCES LLC,VA,UNITED STATES OF AMERICA,EDUCATION,541990.0,1,Y,34.32,Hour,Other,2016.0,OFLC ONLINE DATA CENTER,34.32,0.0,Hour,N,N,TX,75063,CERTIFIED
7,19,12,2016,23,12,2016,H1B,ZOLL CIRCULATION INC,CA,UNITED STATES OF AMERICA,MARKETING,334510.0,1,Y,94890.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,95000.0,0.0,Year,N,N,CA,95131,CERTIFIED
8,22,3,2017,28,3,2017,H1B,CREATIVE WORLD ART CENTER,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,611610.0,1,N,16.17,Hour,Other,2016.0,OFLC ONLINE DATA CENTER,17.0,0.0,Hour,N,N,CA,91006,CERTIFIED
9,16,3,2017,22,3,2017,H1B,MS MIS HOTPOT INC,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,722110.0,1,Y,34.76,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,34.76,0.0,Hour,N,N,NY,10011,CERTIFIED
10,24,4,2017,28,4,2017,H1B,MEDICAL MANAGEMENT INTERNATIONAL INC,WA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541940.0,1,Y,85904.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,125000.0,0.0,Year,N,N,CA,94568,CERTIFIED
11,11,11,2016,17,11,2016,H1B,SEAGATE US LLC,CA,UNITED STATES OF AMERICA,ENGINEERS,334112.0,1,Y,73216.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,82409.6,0.0,Year,N,N,OK,73127,CERTIFIED
12,13,3,2017,17,3,2017,H1B,US SOFT LLC,TX,UNITED STATES OF AMERICA,LOGISTICIANS,541511.0,1,Y,66518.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,66518.0,0.0,Year,N,N,CA,95125,CERTIFIED
13,24,12,2016,30,12,2016,H1B,THOUGHTFOCUS TECHNOLOGIES LLC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,54151.0,1,Y,97947.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,135000.0,0.0,Year,Y,N,WI,53005,CERTIFIED
14,27,3,2017,31,3,2017,H1B,COMPUTER SCIENCES CORPORATION,VA,UNITED STATES OF AMERICA,BUSINESS OPERATIONS SPECIALIST,541519.0,10,Y,54891.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,54891.0,0.0,Year,N,N,NY,13202,CERTIFIED
